AUG5HIST00005.spu,AUG5HIST00004.spu,
Wavelength,AUG5HIST00006.spu,AUG5HIST00007.spu,AUG5HIST00008.spu,AUG5HIST00009.spu,AUG5HIST00010.spu,AUG5HIST00011.spu,AUG5HIST00012.spu,AUG5HIST00013.spu,AUG5HIST00014.spu,AUG5HIST00015.spu,AUG5HIST00016.spu,AUG5HIST00017.spu,AUG5HIST00018.spu,AUG5HIST00019.spu,AUG5HIST00020.spu,AUG5HIST00021.spu,AUG5HIST00022.spu,AUG5HIST00023.spu,AUG5HIST00024.spu,AUG5HIST00025.spu,AUG5HIST00026.spu,AUG5HIST00027.spu,AUG5HIST00028.spu,AUG5HIST00029.spu,AUG5HIST00030.spu,AUG5HIST00031.spu,AUG5HIST00032.spu,AUG5HIST00033.spu,AUG5HIST00034.spu,AUG5HIST00035.spu,AUG5HIST00036.spu,AUG5HIST00037.spu,AUG5HIST00038.spu,AUG5HIST00039.spu,AUG5HIST00040.spu,AUG5HIST00041.spu,AUG5HIST00042.spu,AUG5HIST00043.spu,AUG5HIST00044.spu,AUG5HIST00045.spu,AUG5HIST00046.spu,AUG5HIST00047.spu,AUG5HIST00048.spu,AUG5HIST00049.spu,AUG5HIST00050.spu,AUG5HIST00051.spu,AUG5HIST00052.spu,AUG5HIST00053.spu,AUG5HIST00054.spu,AUG5HIST00055.spu,AUG5HIST00056.spu,AUG5HIST00057.spu,AUG5HIST00058.spu,AUG5HIST00059.spu,AUG5HIST00060.spu,AUG5HIST00061.spu,AUG5HIST00062.spu,AUG5HIST00063.spu,AUG5HIST00064.spu,AUG5HIST00065.spu,AUG5HIST00066.spu,AUG5HIST00067.spu,AUG5HIST00068.spu,AUG5HIST00069.spu,AUG5HIST00070.spu,AUG5HIST00071.spu,AUG5HIST00072.spu,AUG5HIST00073.spu,AUG5HIST00074.spu,AUG5HIST00075.spu,AUG5HIST00076.spu,AUG5HIST00077.spu,AUG5HIST00078.spu,AUG5HIST00079.spu,AUG5HIST00080.spu,AUG5HIST00081.spu,AUG5HIST00082.spu,AUG5HIST00083.spu,AUG5HIST00084.spu,AUG5HIST00085.spu
 927 , 0.43743 , 0.401704 , 0.354973 , 0.330133 , 0.394314 , 0.308962 , 0.398923 , 0.385369 , 0.471018 , 0.554304 , 0.302912 , 0.280936 , 0.145262 , 0.303239 , 0.320259 , 0.181346 , 0.193101 , 0.246354 , 0.285796 , 0.216958 , 0.404974 , 0.389681 , 0.284069 , 0.3269 , 0.430213 , 0.358546 , 0.464575 , 0.399894 , 0.363471 , 0.428098 , 0.429968 , 0.338947 , 0.131267 , 0.206995 , 0.252059 , 0.231924 , 0.3197 , 0.365103 , 0.126735 , 0.300047 , 0.400376 , 0.339096 , 0.481809 , 0.395338 , 0.328859 , 0.439991 , 0.389186 , 0.479773 , 0.401728 , 0.285641 , 0.309314 , 0.221776 , 0.328811 , 0.250624 , 0.372982 , 0.302721 , 0.342818 , 0.263606 , 0.315835 , 0.201135 , 0.369635 , 0.271259 , 0.346552 , 0.33912 , 0.44675 , 0.442463 , 0.359338 , 0.334921 , 0.513373 , 0.437561 , 0.251749 , 0.162711 , 0.291829 , 0.382165 , 0.304585 , 0.282723 , 0.166017 , 0.192369 , 0.207555 , 0.092171 
 928 , 0.436659 , 0.400453 , 0.354306 , 0.329748 , 0.39292 , 0.308022 , 0.397621 , 0.383386 , 0.470005 , 0.553493 , 0.301755 , 0.27933 , 0.14405 , 0.302215 , 0.31942 , 0.179659 , 0.1927 , 0.246045 , 0.284957 , 0.215609 , 0.403762 , 0.38884 , 0.283494 , 0.326194 , 0.429419 , 0.357496 , 0.463678 , 0.398589 , 0.362412 , 0.427191 , 0.429091 , 0.338201 , 0.130394 , 0.206015 , 0.251236 , 0.230985 , 0.319037 , 0.363798 , 0.126284 , 0.299157 , 0.399545 , 0.338774 , 0.480697 , 0.394067 , 0.327986 , 0.438392 , 0.38835 , 0.478923 , 0.401056 , 0.284772 , 0.308446 , 0.220603 , 0.327705 , 0.249796 , 0.372305 , 0.301277 , 0.341869 , 0.262544 , 0.314659 , 0.200579 , 0.368768 , 0.270244 , 0.345901 , 0.337771 , 0.445769 , 0.44108 , 0.358278 , 0.33387 , 0.511731 , 0.437018 , 0.251021 , 0.161911 , 0.290268 , 0.381289 , 0.303876 , 0.281481 , 0.165221 , 0.191571 , 0.206391 , 0.090776 
 929 , 0.43579 , 0.399031 , 0.35355 , 0.329308 , 0.391346 , 0.306954 , 0.396148 , 0.381137 , 0.468862 , 0.552571 , 0.30045 , 0.277509 , 0.142672 , 0.301055 , 0.318464 , 0.177746 , 0.192241 , 0.245695 , 0.284013 , 0.21408 , 0.402394 , 0.387893 , 0.282844 , 0.325387 , 0.428519 , 0.356314 , 0.462664 , 0.397125 , 0.361211 , 0.426163 , 0.428093 , 0.337353 , 0.1294 , 0.204902 , 0.250305 , 0.229917 , 0.31829 , 0.36232 , 0.125779 , 0.298148 , 0.3986 , 0.338408 , 0.479443 , 0.392629 , 0.327 , 0.436582 , 0.387408 , 0.477956 , 0.40029 , 0.283791 , 0.307452 , 0.219271 , 0.326449 , 0.248854 , 0.37154 , 0.299647 , 0.340782 , 0.261329 , 0.313326 , 0.19995 , 0.367787 , 0.269098 , 0.345164 , 0.336238 , 0.444656 , 0.439519 , 0.357081 , 0.332683 , 0.509866 , 0.436396 , 0.250191 , 0.161003 , 0.288503 , 0.380298 , 0.30307 , 0.280068 , 0.164312 , 0.190659 , 0.205076 , 0.089194 
 930 , 0.434609 , 0.398501 , 0.352398 , 0.32884 , 0.390151 , 0.306337 , 0.395294 , 0.379764 , 0.467506 , 0.552071 , 0.299263 , 0.276176 , 0.142176 , 0.300282 , 0.317219 , 0.177093 , 0.191247 , 0.245019 , 0.283029 , 0.213309 , 0.401409 , 0.386683 , 0.282326 , 0.324352 , 0.427577 , 0.355217 , 0.462035 , 0.395992 , 0.360419 , 0.425718 , 0.42688 , 0.336784 , 0.128636 , 0.204119 , 0.249549 , 0.229024 , 0.317767 , 0.360658 , 0.125174 , 0.297392 , 0.397869 , 0.338256 , 0.47831 , 0.391349 , 0.326039 , 0.435032 , 0.386731 , 0.476999 , 0.400008 , 0.283357 , 0.306516 , 0.21869 , 0.325556 , 0.248196 , 0.370795 , 0.298649 , 0.33999 , 0.260794 , 0.312296 , 0.199435 , 0.366844 , 0.268106 , 0.344501 , 0.335121 , 0.443698 , 0.438125 , 0.356105 , 0.331903 , 0.508698 , 0.435599 , 0.249441 , 0.160561 , 0.287248 , 0.379263 , 0.302046 , 0.279352 , 0.163553 , 0.190096 , 0.204155 , 0.087933 
 931 , 0.433415 , 0.398457 , 0.351598 , 0.328034 , 0.389494 , 0.305956 , 0.394647 , 0.379372 , 0.466008 , 0.550901 , 0.298396 , 0.274994 , 0.14182 , 0.299411 , 0.31615 , 0.176545 , 0.190292 , 0.244281 , 0.281885 , 0.212918 , 0.401043 , 0.385672 , 0.281915 , 0.323059 , 0.426912 , 0.354165 , 0.461117 , 0.39537 , 0.359838 , 0.42521 , 0.42555 , 0.336059 , 0.127882 , 0.203358 , 0.248665 , 0.228176 , 0.317082 , 0.359522 , 0.124455 , 0.296623 , 0.397012 , 0.337869 , 0.477509 , 0.3903 , 0.325006 , 0.43403 , 0.385917 , 0.475336 , 0.399699 , 0.283049 , 0.30555 , 0.218472 , 0.324719 , 0.247321 , 0.369781 , 0.297889 , 0.33892 , 0.260279 , 0.311719 , 0.199022 , 0.365888 , 0.267009 , 0.343697 , 0.334125 , 0.442307 , 0.436896 , 0.355378 , 0.330894 , 0.507672 , 0.433988 , 0.248688 , 0.160207 , 0.286065 , 0.378482 , 0.300516 , 0.27903 , 0.162775 , 0.189319 , 0.203322 , 0.086744 
 932 , 0.432089 , 0.398497 , 0.350801 , 0.327053 , 0.388869 , 0.305572 , 0.39395 , 0.379133 , 0.464314 , 0.549417 , 0.297491 , 0.273689 , 0.14143 , 0.298391 , 0.315007 , 0.175929 , 0.189252 , 0.243449 , 0.280569 , 0.21255 , 0.400758 , 0.38461 , 0.281487 , 0.32157 , 0.426235 , 0.353003 , 0.460013 , 0.39479 , 0.359224 , 0.424609 , 0.424051 , 0.335205 , 0.127052 , 0.202497 , 0.247649 , 0.227235 , 0.316279 , 0.35839 , 0.123632 , 0.295746 , 0.396013 , 0.337376 , 0.476695 , 0.389187 , 0.323849 , 0.433037 , 0.38497 , 0.47333 , 0.399325 , 0.282717 , 0.304462 , 0.218285 , 0.323789 , 0.246281 , 0.368587 , 0.297071 , 0.337652 , 0.259688 , 0.311168 , 0.198586 , 0.36482 , 0.265752 , 0.342757 , 0.333027 , 0.440655 , 0.43555 , 0.354617 , 0.329698 , 0.506539 , 0.432005 , 0.247846 , 0.159804 , 0.284744 , 0.377669 , 0.298697 , 0.278734 , 0.161892 , 0.188394 , 0.202395 , 0.085427 
 933 , 0.430553 , 0.398142 , 0.35037 , 0.325642 , 0.388439 , 0.304983 , 0.392974 , 0.379432 , 0.462994 , 0.548091 , 0.296491 , 0.273068 , 0.140323 , 0.297276 , 0.314173 , 0.175474 , 0.188071 , 0.241968 , 0.279364 , 0.212191 , 0.400014 , 0.383561 , 0.28074 , 0.320179 , 0.425551 , 0.351823 , 0.458925 , 0.394073 , 0.358632 , 0.423803 , 0.422923 , 0.334235 , 0.126249 , 0.201749 , 0.246551 , 0.226235 , 0.315159 , 0.35748 , 0.122682 , 0.294819 , 0.395083 , 0.336609 , 0.475963 , 0.388368 , 0.322606 , 0.432101 , 0.383744 , 0.471516 , 0.398656 , 0.282081 , 0.303607 , 0.217849 , 0.322789 , 0.245004 , 0.367349 , 0.295882 , 0.336509 , 0.258924 , 0.310582 , 0.197881 , 0.364065 , 0.26467 , 0.34157 , 0.33218 , 0.439146 , 0.434622 , 0.353642 , 0.3283 , 0.505587 , 0.430205 , 0.247118 , 0.159369 , 0.283693 , 0.377105 , 0.296886 , 0.278437 , 0.161011 , 0.187398 , 0.201625 , 0.084802 
 934 , 0.429432 , 0.39739 , 0.349948 , 0.324071 , 0.387941 , 0.303864 , 0.391638 , 0.37968 , 0.462261 , 0.546949 , 0.295195 , 0.273387 , 0.138778 , 0.296255 , 0.313842 , 0.175332 , 0.18704 , 0.239819 , 0.278376 , 0.2117 , 0.399008 , 0.382509 , 0.279931 , 0.319157 , 0.424594 , 0.350921 , 0.45825 , 0.393338 , 0.358076 , 0.422912 , 0.422458 , 0.333409 , 0.125656 , 0.201163 , 0.245658 , 0.225218 , 0.313848 , 0.356696 , 0.121656 , 0.293984 , 0.394275 , 0.335493 , 0.475214 , 0.387679 , 0.32169 , 0.431586 , 0.382859 , 0.470877 , 0.397844 , 0.280938 , 0.303026 , 0.217219 , 0.322016 , 0.243679 , 0.366482 , 0.294462 , 0.335627 , 0.258076 , 0.309674 , 0.196832 , 0.363804 , 0.26384 , 0.340558 , 0.331791 , 0.438438 , 0.434072 , 0.352359 , 0.327261 , 0.50473 , 0.428751 , 0.246404 , 0.158787 , 0.283086 , 0.376501 , 0.295213 , 0.277893 , 0.160394 , 0.186562 , 0.201041 , 0.084729 
 935 , 0.428754 , 0.396512 , 0.349153 , 0.322557 , 0.387146 , 0.302284 , 0.39006 , 0.379427 , 0.461709 , 0.545736 , 0.293567 , 0.274047 , 0.137278 , 0.295307 , 0.313693 , 0.175335 , 0.186143 , 0.237379 , 0.277405 , 0.211023 , 0.398053 , 0.381354 , 0.279256 , 0.318312 , 0.423289 , 0.350233 , 0.457873 , 0.392611 , 0.357473 , 0.422028 , 0.42225 , 0.332734 , 0.12518 , 0.2006 , 0.244941 , 0.224148 , 0.312496 , 0.355745 , 0.120579 , 0.293187 , 0.39347 , 0.33417 , 0.474303 , 0.386784 , 0.321044 , 0.431376 , 0.38244 , 0.471144 , 0.397061 , 0.279478 , 0.302424 , 0.216546 , 0.321436 , 0.242372 , 0.365916 , 0.293 , 0.334807 , 0.257237 , 0.308397 , 0.195579 , 0.363709 , 0.263012 , 0.339822 , 0.331595 , 0.438289 , 0.433466 , 0.350829 , 0.326644 , 0.503731 , 0.427329 , 0.245554 , 0.158035 , 0.282613 , 0.375562 , 0.293497 , 0.277049 , 0.159944 , 0.185845 , 0.200425 , 0.084582 
 936 , 0.428295 , 0.395428 , 0.348078 , 0.321325 , 0.386321 , 0.300913 , 0.388651 , 0.378736 , 0.460866 , 0.544571 , 0.292294 , 0.274706 , 0.135944 , 0.294764 , 0.313845 , 0.174983 , 0.185474 , 0.235545 , 0.276508 , 0.210338 , 0.397195 , 0.380207 , 0.278496 , 0.317704 , 0.421861 , 0.349438 , 0.457385 , 0.391848 , 0.356633 , 0.420931 , 0.4221 , 0.332019 , 0.124581 , 0.20008 , 0.244257 , 0.223049 , 0.311281 , 0.354872 , 0.119519 , 0.292532 , 0.392743 , 0.332617 , 0.473426 , 0.385815 , 0.320482 , 0.431149 , 0.38202 , 0.471397 , 0.396178 , 0.277763 , 0.301883 , 0.21597 , 0.321052 , 0.24113 , 0.365357 , 0.291573 , 0.334111 , 0.256241 , 0.307079 , 0.194366 , 0.363468 , 0.262083 , 0.339249 , 0.331397 , 0.438298 , 0.432875 , 0.34931 , 0.326032 , 0.502637 , 0.425918 , 0.244501 , 0.157227 , 0.282244 , 0.374476 , 0.292439 , 0.276322 , 0.159558 , 0.185148 , 0.199969 , 0.084199 
 937 , 0.428445 , 0.394024 , 0.346566 , 0.32109 , 0.385699 , 0.300618 , 0.38807 , 0.377147 , 0.459516 , 0.543874 , 0.292378 , 0.275125 , 0.13532 , 0.295507 , 0.314731 , 0.173747 , 0.185548 , 0.235883 , 0.276082 , 0.209787 , 0.396702 , 0.379443 , 0.277513 , 0.317922 , 0.420662 , 0.348532 , 0.456593 , 0.391181 , 0.355335 , 0.419499 , 0.422143 , 0.331307 , 0.123765 , 0.199804 , 0.243775 , 0.222214 , 0.310657 , 0.354509 , 0.118751 , 0.292441 , 0.392565 , 0.330914 , 0.472895 , 0.385101 , 0.320184 , 0.430935 , 0.381574 , 0.471465 , 0.395243 , 0.275883 , 0.301626 , 0.215804 , 0.321295 , 0.240333 , 0.364742 , 0.290584 , 0.333916 , 0.255051 , 0.306076 , 0.193553 , 0.362896 , 0.261028 , 0.339147 , 0.331124 , 0.438645 , 0.432662 , 0.34827 , 0.325597 , 0.501584 , 0.424941 , 0.243205 , 0.156505 , 0.282225 , 0.373369 , 0.29341 , 0.276156 , 0.159354 , 0.184642 , 0.200066 , 0.083304 
 938 , 0.428108 , 0.392815 , 0.345821 , 0.320819 , 0.385693 , 0.301416 , 0.387803 , 0.376434 , 0.458647 , 0.543711 , 0.293052 , 0.275 , 0.134658 , 0.29649 , 0.315294 , 0.172711 , 0.185454 , 0.23689 , 0.276117 , 0.209367 , 0.395819 , 0.379364 , 0.276078 , 0.318299 , 0.420736 , 0.347765 , 0.455477 , 0.390659 , 0.354328 , 0.41841 , 0.422184 , 0.330558 , 0.122946 , 0.199777 , 0.24311 , 0.222014 , 0.310031 , 0.35475 , 0.11814 , 0.292499 , 0.393197 , 0.330079 , 0.472861 , 0.385653 , 0.319599 , 0.430777 , 0.380727 , 0.471025 , 0.394616 , 0.275148 , 0.301388 , 0.215839 , 0.321503 , 0.239695 , 0.363394 , 0.289961 , 0.333916 , 0.254149 , 0.305898 , 0.193163 , 0.362419 , 0.259987 , 0.33858 , 0.330381 , 0.438486 , 0.433388 , 0.348096 , 0.325295 , 0.501033 , 0.424636 , 0.242523 , 0.156204 , 0.282138 , 0.372973 , 0.294283 , 0.276505 , 0.15885 , 0.18424 , 0.200319 , 0.082584 
 939 , 0.427754 , 0.391558 , 0.345046 , 0.320529 , 0.385676 , 0.302243 , 0.387518 , 0.375691 , 0.457743 , 0.543544 , 0.293741 , 0.274867 , 0.133967 , 0.297507 , 0.315868 , 0.171636 , 0.185358 , 0.237935 , 0.276157 , 0.208928 , 0.394907 , 0.379274 , 0.274599 , 0.318686 , 0.420805 , 0.34698 , 0.454331 , 0.39012 , 0.353285 , 0.417285 , 0.422226 , 0.329784 , 0.1221 , 0.199747 , 0.242419 , 0.221811 , 0.309386 , 0.354997 , 0.117512 , 0.292566 , 0.39384 , 0.329207 , 0.472823 , 0.386218 , 0.318989 , 0.430607 , 0.379856 , 0.470569 , 0.393966 , 0.274382 , 0.301141 , 0.215871 , 0.321716 , 0.23903 , 0.361997 , 0.289314 , 0.333914 , 0.253214 , 0.305712 , 0.192758 , 0.361923 , 0.258909 , 0.337988 , 0.329618 , 0.438315 , 0.434139 , 0.34791 , 0.324979 , 0.500455 , 0.424314 , 0.241809 , 0.155888 , 0.28205 , 0.372564 , 0.295179 , 0.276864 , 0.15833 , 0.183829 , 0.20058 , 0.081835 
 940 , 0.427696 , 0.391711 , 0.345007 , 0.321086 , 0.385692 , 0.302883 , 0.387954 , 0.376054 , 0.458527 , 0.543229 , 0.293995 , 0.274842 , 0.134349 , 0.297944 , 0.315596 , 0.171409 , 0.185458 , 0.238982 , 0.276877 , 0.208935 , 0.39487 , 0.37989 , 0.273979 , 0.319148 , 0.421439 , 0.347223 , 0.453844 , 0.390472 , 0.352576 , 0.417342 , 0.422309 , 0.329492 , 0.122722 , 0.19995 , 0.241937 , 0.22291 , 0.309424 , 0.355151 , 0.11805 , 0.293085 , 0.394734 , 0.32977 , 0.473417 , 0.387999 , 0.319432 , 0.431055 , 0.379702 , 0.471138 , 0.394529 , 0.274536 , 0.301184 , 0.216295 , 0.321893 , 0.239601 , 0.36126 , 0.290244 , 0.334783 , 0.253292 , 0.306247 , 0.192926 , 0.361715 , 0.258339 , 0.33888 , 0.329634 , 0.438977 , 0.435363 , 0.34845 , 0.325803 , 0.500651 , 0.424383 , 0.242727 , 0.155991 , 0.281969 , 0.373422 , 0.296058 , 0.277616 , 0.159111 , 0.184679 , 0.201206 , 0.082167 
 941 , 0.427279 , 0.390981 , 0.344674 , 0.321694 , 0.385319 , 0.302401 , 0.387815 , 0.374872 , 0.458635 , 0.542687 , 0.292823 , 0.274433 , 0.134462 , 0.297714 , 0.315418 , 0.170743 , 0.184826 , 0.239412 , 0.276516 , 0.208839 , 0.394511 , 0.3802 , 0.273497 , 0.31931 , 0.420323 , 0.346711 , 0.452235 , 0.390363 , 0.351058 , 0.4166 , 0.421843 , 0.328894 , 0.123136 , 0.19984 , 0.241341 , 0.223189 , 0.309613 , 0.354457 , 0.118455 , 0.293567 , 0.394772 , 0.329201 , 0.473433 , 0.388008 , 0.319418 , 0.430525 , 0.378753 , 0.471476 , 0.392462 , 0.273718 , 0.30079 , 0.215972 , 0.321711 , 0.239599 , 0.36046 , 0.290656 , 0.334818 , 0.252865 , 0.306061 , 0.192378 , 0.360414 , 0.257388 , 0.339471 , 0.329229 , 0.439899 , 0.434792 , 0.34767 , 0.32612 , 0.49937 , 0.423795 , 0.242907 , 0.155377 , 0.282116 , 0.372835 , 0.296914 , 0.277684 , 0.159842 , 0.185144 , 0.201707 , 0.082265 
 942 , 0.426808 , 0.390146 , 0.344304 , 0.322312 , 0.384893 , 0.301793 , 0.387607 , 0.373509 , 0.45866 , 0.542116 , 0.291486 , 0.273976 , 0.134546 , 0.297419 , 0.31524 , 0.170018 , 0.184105 , 0.239785 , 0.276028 , 0.208732 , 0.394107 , 0.380484 , 0.273013 , 0.319445 , 0.419006 , 0.346111 , 0.450489 , 0.390197 , 0.349421 , 0.415753 , 0.421317 , 0.328262 , 0.12353 , 0.199694 , 0.240714 , 0.223386 , 0.309812 , 0.353659 , 0.11885 , 0.294053 , 0.39473 , 0.3285 , 0.473387 , 0.387834 , 0.319354 , 0.429885 , 0.377697 , 0.471789 , 0.390101 , 0.272781 , 0.300348 , 0.21556 , 0.32149 , 0.239541 , 0.359632 , 0.291021 , 0.334773 , 0.252381 , 0.3058 , 0.191744 , 0.358974 , 0.256376 , 0.340042 , 0.328766 , 0.440861 , 0.434022 , 0.346746 , 0.326398 , 0.497918 , 0.423131 , 0.243009 , 0.154679 , 0.282289 , 0.372081 , 0.297782 , 0.277682 , 0.160578 , 0.185573 , 0.202199 , 0.082335 
 943 , 0.426658 , 0.38918 , 0.344261 , 0.321875 , 0.384433 , 0.300265 , 0.386628 , 0.372029 , 0.45837 , 0.541056 , 0.289881 , 0.27351 , 0.133801 , 0.296586 , 0.314825 , 0.169457 , 0.18336 , 0.238935 , 0.2751 , 0.208168 , 0.393385 , 0.380308 , 0.272316 , 0.318944 , 0.417701 , 0.345121 , 0.448586 , 0.389548 , 0.347758 , 0.414707 , 0.420332 , 0.32737 , 0.123298 , 0.199013 , 0.240327 , 0.222915 , 0.309324 , 0.3531 , 0.118573 , 0.293632 , 0.394211 , 0.327155 , 0.472766 , 0.38716 , 0.318423 , 0.428797 , 0.376024 , 0.471266 , 0.387177 , 0.271965 , 0.299738 , 0.214761 , 0.320546 , 0.238997 , 0.358635 , 0.290871 , 0.333753 , 0.251475 , 0.304984 , 0.190762 , 0.357656 , 0.255566 , 0.340136 , 0.327868 , 0.4408 , 0.432798 , 0.34567 , 0.326012 , 0.495769 , 0.421996 , 0.242013 , 0.153544 , 0.282536 , 0.37062 , 0.297413 , 0.277273 , 0.160063 , 0.185398 , 0.20165 , 0.081973 
 944 , 0.426598 , 0.388112 , 0.344171 , 0.320777 , 0.383953 , 0.298459 , 0.385696 , 0.371169 , 0.45767 , 0.539729 , 0.289144 , 0.273181 , 0.13266 , 0.295482 , 0.313958 , 0.168945 , 0.182917 , 0.237462 , 0.274284 , 0.207261 , 0.392786 , 0.379222 , 0.271489 , 0.317891 , 0.416367 , 0.344392 , 0.447603 , 0.388774 , 0.34674 , 0.413843 , 0.418913 , 0.326368 , 0.122786 , 0.198099 , 0.240184 , 0.222251 , 0.308294 , 0.35297 , 0.117953 , 0.29224 , 0.392877 , 0.326012 , 0.471897 , 0.386714 , 0.317456 , 0.427712 , 0.374536 , 0.469582 , 0.386629 , 0.271313 , 0.299025 , 0.214159 , 0.31891 , 0.238288 , 0.357792 , 0.290446 , 0.332689 , 0.250681 , 0.304236 , 0.190007 , 0.356711 , 0.254812 , 0.340278 , 0.327047 , 0.439987 , 0.431877 , 0.344839 , 0.324863 , 0.493915 , 0.420758 , 0.240665 , 0.152562 , 0.282529 , 0.369319 , 0.296671 , 0.276678 , 0.158799 , 0.184937 , 0.200323 , 0.081386 
 945 , 0.426493 , 0.387002 , 0.343936 , 0.319557 , 0.383444 , 0.296735 , 0.38503 , 0.370751 , 0.456774 , 0.538352 , 0.289083 , 0.272945 , 0.131502 , 0.294339 , 0.312856 , 0.168394 , 0.182679 , 0.235946 , 0.273676 , 0.206265 , 0.39236 , 0.37765 , 0.270629 , 0.316645 , 0.414983 , 0.343947 , 0.447275 , 0.388055 , 0.346145 , 0.413159 , 0.417334 , 0.325357 , 0.122286 , 0.197185 , 0.240126 , 0.221672 , 0.307112 , 0.353055 , 0.117308 , 0.290465 , 0.39112 , 0.325204 , 0.471031 , 0.386577 , 0.316719 , 0.426754 , 0.373345 , 0.467361 , 0.387874 , 0.270719 , 0.298293 , 0.21381 , 0.317008 , 0.2376 , 0.357105 , 0.290006 , 0.331905 , 0.250096 , 0.303702 , 0.18951 , 0.355956 , 0.254015 , 0.340605 , 0.326405 , 0.438971 , 0.431291 , 0.344202 , 0.323397 , 0.492465 , 0.419583 , 0.239418 , 0.151809 , 0.282331 , 0.368349 , 0.296067 , 0.276072 , 0.157416 , 0.184463 , 0.198794 , 0.080784 
 946 , 0.426253 , 0.386001 , 0.343446 , 0.318586 , 0.382996 , 0.295735 , 0.384897 , 0.370541 , 0.455651 , 0.537281 , 0.289047 , 0.272653 , 0.130772 , 0.293568 , 0.312124 , 0.168161 , 0.182178 , 0.234862 , 0.273337 , 0.205521 , 0.391835 , 0.3762 , 0.269993 , 0.315774 , 0.413424 , 0.343491 , 0.446682 , 0.387523 , 0.345913 , 0.412468 , 0.415897 , 0.324443 , 0.121667 , 0.196365 , 0.24012 , 0.221128 , 0.30604 , 0.353043 , 0.116789 , 0.288877 , 0.389651 , 0.324409 , 0.47016 , 0.386369 , 0.315949 , 0.425755 , 0.372521 , 0.465062 , 0.389442 , 0.270355 , 0.297693 , 0.213534 , 0.315559 , 0.237098 , 0.356541 , 0.289392 , 0.33129 , 0.249621 , 0.302934 , 0.189144 , 0.355341 , 0.253316 , 0.340515 , 0.32579 , 0.438267 , 0.430831 , 0.34361 , 0.322095 , 0.491302 , 0.41837 , 0.238473 , 0.151229 , 0.282024 , 0.367672 , 0.295617 , 0.275584 , 0.156345 , 0.184006 , 0.197598 , 0.080085 
 947 , 0.425897 , 0.385638 , 0.342623 , 0.318264 , 0.382628 , 0.296073 , 0.385593 , 0.370914 , 0.45451 , 0.536671 , 0.288872 , 0.272442 , 0.130864 , 0.293582 , 0.31239 , 0.168598 , 0.181385 , 0.23473 , 0.273509 , 0.205321 , 0.391286 , 0.375399 , 0.269832 , 0.31579 , 0.411958 , 0.343137 , 0.445688 , 0.387485 , 0.346215 , 0.41193 , 0.415093 , 0.32381 , 0.120918 , 0.195725 , 0.240129 , 0.220678 , 0.305505 , 0.352824 , 0.116512 , 0.287923 , 0.389293 , 0.323669 , 0.469528 , 0.386152 , 0.315253 , 0.424954 , 0.372428 , 0.463298 , 0.391117 , 0.270437 , 0.297473 , 0.213403 , 0.315327 , 0.237046 , 0.356314 , 0.288663 , 0.331231 , 0.249364 , 0.301675 , 0.188964 , 0.355201 , 0.252928 , 0.33972 , 0.325329 , 0.438102 , 0.430579 , 0.343233 , 0.321325 , 0.490764 , 0.41716 , 0.238124 , 0.150942 , 0.28171 , 0.367633 , 0.295259 , 0.275508 , 0.155997 , 0.18361 , 0.197233 , 0.079292 
 948 , 0.425784 , 0.386274 , 0.341977 , 0.318389 , 0.382201 , 0.296671 , 0.38611 , 0.371803 , 0.454205 , 0.535882 , 0.288211 , 0.27259 , 0.131164 , 0.294002 , 0.313488 , 0.169393 , 0.180901 , 0.235086 , 0.27382 , 0.20535 , 0.39104 , 0.37556 , 0.269882 , 0.316412 , 0.411364 , 0.343065 , 0.444749 , 0.387844 , 0.346368 , 0.41171 , 0.415115 , 0.323421 , 0.120285 , 0.195101 , 0.239982 , 0.220235 , 0.305782 , 0.352499 , 0.11624 , 0.287684 , 0.390348 , 0.322962 , 0.469419 , 0.386138 , 0.314842 , 0.424685 , 0.372551 , 0.463005 , 0.391827 , 0.270675 , 0.297589 , 0.213306 , 0.316123 , 0.237319 , 0.356374 , 0.288308 , 0.331767 , 0.249166 , 0.300178 , 0.188658 , 0.355627 , 0.252844 , 0.338889 , 0.325098 , 0.437932 , 0.430255 , 0.343139 , 0.321126 , 0.490463 , 0.416078 , 0.237925 , 0.15061 , 0.281797 , 0.367888 , 0.294472 , 0.275893 , 0.156067 , 0.183281 , 0.197463 , 0.07864 
