  time  ,:22:36 A,:22:54 A,:23:04 A,:23:12 A,:23:22 A,:24:01 A,:24:13 A,:24:21 A,:24:29 A,:24:41 A,:25:14 A,:25:33 A,:25:43 A,:25:56 A,:26:08 A,:26:44 A,:26:57 A,:27:05 A,:27:15 A,:27:25 A,:27:48 A,:27:57 A,:28:06 A,:28:16 A,:28:25 A,:28:48 A,:28:58 A,:29:10 A,:29:19 A,:29:33 A,:30:02 A,:30:14 A,:30:22 A,:30:34 A,:30:46 A,:31:13 A,:31:28 A,:31:38 A,:31:47 A,:31:58 A,:32:57 A,:33:09 A,:33:21 A,:33:32 A,:33:43 A,:34:21 A,:34:31 A,:34:42 A,:34:55 A,:35:07 A,:35:42 A,:35:51 A,:36:04 A,:36:14 A,:36:23 A,:36:50 A,:37:01 A,:37:14 A,:37:25 A,:37:34 A,:38:00 A,:38:11 A,:38:28 A,:38:38 A,:38:49 A,:39:13 A,:39:25 A,:39:43 A,:39:54 A,:40:08 A,:40:39 A,:40:51 A,:41:01 A,:41:11 A,:41:21 A,:42:16 A,:42:27 A,:42:39 A,:42:52 A,:43:04 A,:45:00 A,:45:13 A,:45:25 A,:45:39 A,:45:57 A,:46:39 A,:46:52 A,:47:06 A,:47:17 A,:47:26 A,:47:55 A,:48:07 A,:48:19 A,:48:31 A,:48:40 A,:49:15 A,:49:26 A,:49:35 A,:49:47 A,:50:00 A,:50:28 A,:50:37 A,:50:47 A,:50:57 A,:51:09 A,:51:38 A,:51:50 A,:51:59 A,:52:09 A,:52:18 A,:52:45 A,:52:55 A,:53:05 A,:53:17 A,:53:28 A,:54:01 A,:54:12 A,:54:23 A,:54:31 A,:54:41 A,:00:16 P,:00:27 P,:00:37 P,:00:47 P,:00:57 P,:01:25 P,:01:37 P,:01:48 P,:01:59 P,:02:09 P,:02:38 P,:02:52 P,:03:01 P,:03:10 P,:03:20 P,:03:50 P,:04:02 P,:04:13 P,:04:24 P,:04:34 P,:05:04 P,:05:14 P,:05:23 P,:05:32 P,:05:40 P,:06:09 P,:06:28 P,:06:39 P,:06:50 P,:07:00 P,:07:31 P,:07:41 P,:07:52 P,:08:03 P,:08:13 P,:08:42 P,:08:53 P,:09:05 P,:09:17 P,:09:38 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 837 , 0.398215 , 0.493784 , 0.40504 , 0.322727 , 0.362026 , 0.389665 , 0.293116 , 0.407844 , 0.348434 , 0.408102 , 0.448501 , 0.448837 , 0.354081 , 0.535649 , 0.204452 , 0.296375 , 0.351367 , 0.321379 , 0.371715 , 0.416354 , 0.413045 , 0.379898 , 0.392836 , 0.439822 , 0.274571 , 0.372359 , 0.330137 , 0.435137 , 0.446747 , 0.343114 , 0.407477 , 0.297178 , 0.308362 , 0.378996 , 0.389646 , 0.436415 , 0.390884 , 0.315594 , 0.410529 , 0.473594 , 0.416869 , 0.366861 , 0.273332 , 0.466342 , 0.402187 , 0.386703 , 0.375806 , 0.32875 , 0.474585 , 0.312196 , 0.364711 , 0.370239 , 0.474129 , 0.465976 , 0.231111 , 0.369446 , 0.433611 , 0.432819 , 0.344056 , 0.405704 , 0.313107 , 0.363621 , 0.418315 , 0.288539 , 0.335714 , 0.191573 , 0.358638 , 0.403148 , 0.417919 , 0.282209 , 0.276394 , 0.376896 , 0.380264 , 0.427271 , 0.328294 , 0.445846 , 0.267507 , 0.25346 , 0.454187 , 0.403733 , 0.342035 , 0.418444 , 0.41671 , 0.392202 , 0.417741 , 0.363373 , 0.288222 , 0.358866 , 0.277038 , 0.269855 , 0.36583 , 0.389249 , 0.402098 , 0.231021 , 0.255402 , 0.386604 , 0.205829 , 0.268449 , 0.339053 , 0.380522 , 0.411311 , 0.333683 , 0.378342 , 0.391885 , 0.47821 , 0.316149 , 0.349276 , 0.257393 , 0.379551 , 0.263971 , 0.357449 , 0.340767 , 0.263505 , 0.274967 , 0.295434 , 0.413025 , 0.277533 , 0.23754 , 0.254807 , 0.277018 , 0.350158 , 0.400909 , 0.334743 , 0.308075 , 0.289629 , 0.371923 , 0.294067 , 0.338894 , 0.370229 , 0.362739 , 0.320646 , 0.415522 , 0.40407 , 0.221036 , 0.365246 , 0.404971 , 0.319051 , 0.304043 , 0.326382 , 0.261038 , 0.345135 , 0.336735 , 0.306262 , 0.395897 , 0.315495 , 0.366643 , 0.32555 , 0.31178 , 0.358975 , 0.198359 , 0.381076 , 0.378392 , 0.321568 , 0.313642 , 0.359024 , 0.420861 , 0.308134 , 0.44438 , 0.321469 , 0.294751 
 838 , 0.398582 , 0.494386 , 0.40537 , 0.323083 , 0.362415 , 0.39024 , 0.293526 , 0.408457 , 0.348929 , 0.408546 , 0.449274 , 0.449472 , 0.354638 , 0.53636 , 0.204738 , 0.296732 , 0.351788 , 0.321727 , 0.372073 , 0.41669 , 0.413573 , 0.380355 , 0.393357 , 0.44024 , 0.274894 , 0.372588 , 0.330425 , 0.435619 , 0.447137 , 0.343516 , 0.407814 , 0.297455 , 0.308814 , 0.379484 , 0.39027 , 0.436886 , 0.391319 , 0.315929 , 0.410911 , 0.474101 , 0.417234 , 0.367254 , 0.273598 , 0.466818 , 0.402619 , 0.387163 , 0.376269 , 0.329208 , 0.475318 , 0.312554 , 0.365038 , 0.370737 , 0.474655 , 0.466383 , 0.231475 , 0.369896 , 0.434145 , 0.433363 , 0.344525 , 0.406102 , 0.313514 , 0.364078 , 0.418748 , 0.288777 , 0.336045 , 0.191914 , 0.358962 , 0.40345 , 0.418599 , 0.282652 , 0.276764 , 0.377426 , 0.380741 , 0.427743 , 0.328664 , 0.446236 , 0.267799 , 0.253738 , 0.454647 , 0.404242 , 0.342536 , 0.418857 , 0.417175 , 0.392704 , 0.418253 , 0.36391 , 0.288618 , 0.359368 , 0.277457 , 0.270233 , 0.366374 , 0.389657 , 0.40256 , 0.231356 , 0.255757 , 0.387074 , 0.206024 , 0.268769 , 0.339469 , 0.381018 , 0.411871 , 0.334027 , 0.378871 , 0.392378 , 0.478742 , 0.316681 , 0.350066 , 0.257776 , 0.380147 , 0.264385 , 0.358072 , 0.34125 , 0.263811 , 0.275359 , 0.295901 , 0.413751 , 0.277882 , 0.237976 , 0.255213 , 0.277516 , 0.35067 , 0.401451 , 0.335214 , 0.308517 , 0.289994 , 0.372409 , 0.294476 , 0.339301 , 0.370708 , 0.363168 , 0.321084 , 0.416096 , 0.404697 , 0.221263 , 0.36575 , 0.405518 , 0.319491 , 0.30444 , 0.326932 , 0.261407 , 0.345732 , 0.337173 , 0.306667 , 0.396672 , 0.316077 , 0.367126 , 0.325992 , 0.312159 , 0.359546 , 0.198554 , 0.381612 , 0.379089 , 0.322073 , 0.314217 , 0.359635 , 0.421509 , 0.308626 , 0.445019 , 0.321846 , 0.295208 
 839 , 0.398947 , 0.494989 , 0.405662 , 0.323426 , 0.362806 , 0.39084 , 0.29393 , 0.409079 , 0.349416 , 0.40898 , 0.450009 , 0.450148 , 0.355193 , 0.537065 , 0.205018 , 0.29711 , 0.352201 , 0.322083 , 0.372404 , 0.417028 , 0.414085 , 0.380827 , 0.393882 , 0.440658 , 0.275227 , 0.372809 , 0.330703 , 0.436086 , 0.447511 , 0.343906 , 0.408131 , 0.297742 , 0.309275 , 0.379978 , 0.39089 , 0.43739 , 0.391719 , 0.316257 , 0.411301 , 0.474587 , 0.417591 , 0.367654 , 0.273835 , 0.46729 , 0.403045 , 0.387641 , 0.37671 , 0.329676 , 0.476029 , 0.312889 , 0.365334 , 0.371199 , 0.47516 , 0.466796 , 0.231838 , 0.37037 , 0.434664 , 0.433894 , 0.344972 , 0.406482 , 0.313936 , 0.364574 , 0.41919 , 0.289012 , 0.336381 , 0.19225 , 0.359291 , 0.403756 , 0.419289 , 0.283097 , 0.277133 , 0.377944 , 0.381173 , 0.428206 , 0.329064 , 0.446632 , 0.268078 , 0.254007 , 0.455075 , 0.404754 , 0.343037 , 0.419269 , 0.41765 , 0.39322 , 0.418805 , 0.364445 , 0.288993 , 0.359863 , 0.277884 , 0.270606 , 0.366904 , 0.39005 , 0.403006 , 0.23169 , 0.25612 , 0.387512 , 0.206213 , 0.269075 , 0.339867 , 0.381479 , 0.412407 , 0.334337 , 0.379415 , 0.392855 , 0.479248 , 0.317215 , 0.350897 , 0.258144 , 0.380719 , 0.26477 , 0.358668 , 0.341743 , 0.264108 , 0.275761 , 0.296389 , 0.41448 , 0.278239 , 0.238415 , 0.255616 , 0.278032 , 0.351183 , 0.402009 , 0.33568 , 0.30892 , 0.290365 , 0.372868 , 0.294878 , 0.339709 , 0.37119 , 0.363606 , 0.32152 , 0.416653 , 0.405317 , 0.221479 , 0.366242 , 0.406087 , 0.31993 , 0.304851 , 0.327474 , 0.261778 , 0.346305 , 0.337606 , 0.307063 , 0.397446 , 0.316652 , 0.367605 , 0.326438 , 0.312524 , 0.36009 , 0.198758 , 0.382151 , 0.379781 , 0.322537 , 0.314795 , 0.360278 , 0.422153 , 0.309107 , 0.445645 , 0.322221 , 0.295658 
 840 , 0.399322 , 0.495598 , 0.405976 , 0.323777 , 0.363191 , 0.391445 , 0.29435 , 0.409703 , 0.349922 , 0.409417 , 0.450743 , 0.450832 , 0.355718 , 0.537762 , 0.20531 , 0.297475 , 0.352603 , 0.322437 , 0.372744 , 0.417363 , 0.414592 , 0.381291 , 0.394412 , 0.441072 , 0.27557 , 0.37302 , 0.330984 , 0.436547 , 0.447894 , 0.344302 , 0.408451 , 0.298037 , 0.309729 , 0.380463 , 0.391494 , 0.437907 , 0.392125 , 0.316591 , 0.411674 , 0.475063 , 0.417964 , 0.368051 , 0.274072 , 0.467768 , 0.403472 , 0.388123 , 0.37716 , 0.330136 , 0.476729 , 0.313239 , 0.365656 , 0.371669 , 0.475655 , 0.467216 , 0.232184 , 0.370851 , 0.435196 , 0.434427 , 0.345416 , 0.406873 , 0.314353 , 0.365064 , 0.41963 , 0.289253 , 0.336731 , 0.192583 , 0.359612 , 0.404073 , 0.419965 , 0.283565 , 0.277502 , 0.378462 , 0.381606 , 0.42868 , 0.329466 , 0.447036 , 0.268364 , 0.254276 , 0.455514 , 0.405256 , 0.343563 , 0.419689 , 0.418122 , 0.393742 , 0.419364 , 0.364975 , 0.289362 , 0.360342 , 0.278311 , 0.270976 , 0.36744 , 0.390449 , 0.403462 , 0.232026 , 0.256484 , 0.387965 , 0.206414 , 0.269379 , 0.34028 , 0.381942 , 0.412946 , 0.334671 , 0.37995 , 0.393338 , 0.479756 , 0.317764 , 0.351716 , 0.258525 , 0.381301 , 0.26516 , 0.359267 , 0.342242 , 0.26442 , 0.276162 , 0.296874 , 0.415213 , 0.278606 , 0.238848 , 0.256041 , 0.278547 , 0.351706 , 0.402575 , 0.33615 , 0.309335 , 0.290752 , 0.373315 , 0.295287 , 0.340122 , 0.371689 , 0.364049 , 0.321973 , 0.417215 , 0.405947 , 0.221704 , 0.36674 , 0.406656 , 0.320386 , 0.305263 , 0.328016 , 0.262153 , 0.346885 , 0.338023 , 0.307452 , 0.398227 , 0.317241 , 0.368091 , 0.326873 , 0.312894 , 0.360647 , 0.198981 , 0.382691 , 0.380463 , 0.322999 , 0.315388 , 0.360933 , 0.422804 , 0.309601 , 0.446267 , 0.322604 , 0.296105 
 841 , 0.399715 , 0.49624 , 0.40636 , 0.324161 , 0.36356 , 0.392064 , 0.29479 , 0.410343 , 0.350427 , 0.409772 , 0.451448 , 0.451477 , 0.356057 , 0.538369 , 0.20562 , 0.297836 , 0.352991 , 0.322801 , 0.373094 , 0.417689 , 0.415046 , 0.381652 , 0.394884 , 0.44146 , 0.275988 , 0.373272 , 0.33129 , 0.436994 , 0.448234 , 0.344649 , 0.408805 , 0.298339 , 0.310181 , 0.380913 , 0.392024 , 0.438404 , 0.392517 , 0.316944 , 0.411951 , 0.475456 , 0.418379 , 0.36849 , 0.274252 , 0.468209 , 0.403856 , 0.388633 , 0.3776 , 0.33058 , 0.477368 , 0.313572 , 0.366045 , 0.372157 , 0.476126 , 0.467647 , 0.232428 , 0.37128 , 0.435761 , 0.434963 , 0.345842 , 0.407346 , 0.314696 , 0.365532 , 0.420035 , 0.289564 , 0.337136 , 0.192892 , 0.359951 , 0.404398 , 0.420568 , 0.284033 , 0.2779 , 0.378921 , 0.382047 , 0.429165 , 0.329821 , 0.447494 , 0.268672 , 0.254563 , 0.455973 , 0.405749 , 0.344156 , 0.420094 , 0.418576 , 0.394263 , 0.419868 , 0.365404 , 0.289673 , 0.36075 , 0.278739 , 0.271334 , 0.367898 , 0.390871 , 0.403885 , 0.232359 , 0.25685 , 0.388475 , 0.206646 , 0.269687 , 0.340755 , 0.382392 , 0.413508 , 0.335066 , 0.380439 , 0.393868 , 0.480257 , 0.318305 , 0.352419 , 0.258921 , 0.381938 , 0.265546 , 0.359873 , 0.342737 , 0.264748 , 0.276599 , 0.297393 , 0.416013 , 0.279034 , 0.239182 , 0.256555 , 0.279064 , 0.352202 , 0.403146 , 0.336614 , 0.309796 , 0.291171 , 0.373774 , 0.295707 , 0.340568 , 0.372177 , 0.364526 , 0.322466 , 0.417728 , 0.406646 , 0.221967 , 0.367287 , 0.407198 , 0.320888 , 0.305645 , 0.328559 , 0.262549 , 0.34745 , 0.338418 , 0.307834 , 0.398995 , 0.317832 , 0.368539 , 0.327257 , 0.313267 , 0.361194 , 0.199241 , 0.38324 , 0.38111 , 0.323422 , 0.315978 , 0.361578 , 0.423447 , 0.310121 , 0.446903 , 0.323028 , 0.296515 
 842 , 0.400117 , 0.49688 , 0.406769 , 0.32453 , 0.363927 , 0.392659 , 0.295208 , 0.41097 , 0.350919 , 0.410144 , 0.452159 , 0.452041 , 0.35638 , 0.539003 , 0.205943 , 0.298189 , 0.353379 , 0.323132 , 0.373491 , 0.418016 , 0.415556 , 0.382012 , 0.395365 , 0.441857 , 0.276414 , 0.37356 , 0.331604 , 0.437449 , 0.448597 , 0.345025 , 0.409199 , 0.298642 , 0.310626 , 0.381343 , 0.392531 , 0.438836 , 0.392885 , 0.317366 , 0.41223 , 0.475892 , 0.418803 , 0.368916 , 0.274446 , 0.46868 , 0.40426 , 0.389136 , 0.378086 , 0.331014 , 0.477998 , 0.313952 , 0.366446 , 0.372684 , 0.47661 , 0.46805 , 0.232657 , 0.371651 , 0.436317 , 0.43551 , 0.346265 , 0.407841 , 0.314995 , 0.365954 , 0.420407 , 0.289865 , 0.337498 , 0.19322 , 0.360228 , 0.404703 , 0.421135 , 0.284473 , 0.278333 , 0.379385 , 0.382514 , 0.429666 , 0.330128 , 0.447928 , 0.268965 , 0.254846 , 0.456478 , 0.406238 , 0.34476 , 0.420554 , 0.419009 , 0.394774 , 0.420298 , 0.365816 , 0.289993 , 0.361172 , 0.279139 , 0.271701 , 0.368375 , 0.391301 , 0.404329 , 0.232667 , 0.257217 , 0.389018 , 0.206897 , 0.270028 , 0.341237 , 0.382868 , 0.414119 , 0.335481 , 0.380901 , 0.39444 , 0.480802 , 0.318832 , 0.352995 , 0.259342 , 0.382563 , 0.265964 , 0.360503 , 0.343235 , 0.265069 , 0.277044 , 0.297923 , 0.416854 , 0.279484 , 0.239525 , 0.257089 , 0.279563 , 0.352661 , 0.403709 , 0.337055 , 0.310272 , 0.291567 , 0.374239 , 0.296113 , 0.341031 , 0.372645 , 0.365 , 0.322945 , 0.418242 , 0.407399 , 0.222237 , 0.367814 , 0.407743 , 0.321371 , 0.305962 , 0.329095 , 0.262934 , 0.348036 , 0.338817 , 0.308215 , 0.399714 , 0.31839 , 0.368985 , 0.327609 , 0.313617 , 0.361713 , 0.199517 , 0.383823 , 0.381796 , 0.32389 , 0.31654 , 0.362186 , 0.424106 , 0.310656 , 0.447583 , 0.323427 , 0.296929 
 843 , 0.400523 , 0.497528 , 0.40718 , 0.324904 , 0.364299 , 0.393266 , 0.295632 , 0.411599 , 0.351416 , 0.410519 , 0.45288 , 0.452624 , 0.356719 , 0.539644 , 0.206276 , 0.298539 , 0.353773 , 0.32348 , 0.373893 , 0.418345 , 0.416077 , 0.382377 , 0.395849 , 0.442255 , 0.276838 , 0.373853 , 0.331915 , 0.437915 , 0.448962 , 0.345407 , 0.409596 , 0.298951 , 0.311078 , 0.381787 , 0.39305 , 0.43928 , 0.393256 , 0.317794 , 0.412512 , 0.476338 , 0.419248 , 0.369356 , 0.274648 , 0.46915 , 0.404676 , 0.389663 , 0.378576 , 0.331453 , 0.478646 , 0.314338 , 0.366852 , 0.373215 , 0.477114 , 0.468463 , 0.232886 , 0.372037 , 0.436894 , 0.436069 , 0.346693 , 0.408339 , 0.31531 , 0.366391 , 0.42078 , 0.290182 , 0.337875 , 0.19355 , 0.360519 , 0.405 , 0.421713 , 0.284919 , 0.278772 , 0.379863 , 0.382985 , 0.430167 , 0.330452 , 0.448363 , 0.269257 , 0.255137 , 0.456984 , 0.406738 , 0.345377 , 0.421016 , 0.419445 , 0.395309 , 0.420741 , 0.366234 , 0.29031 , 0.361599 , 0.279548 , 0.272066 , 0.368855 , 0.391725 , 0.404775 , 0.232994 , 0.257592 , 0.389564 , 0.20716 , 0.270367 , 0.341715 , 0.383349 , 0.414741 , 0.335901 , 0.381365 , 0.395024 , 0.481356 , 0.319366 , 0.353566 , 0.259782 , 0.383201 , 0.26639 , 0.361137 , 0.343737 , 0.265398 , 0.277496 , 0.29847 , 0.417717 , 0.279931 , 0.239878 , 0.257641 , 0.280078 , 0.353134 , 0.404284 , 0.337502 , 0.310764 , 0.291979 , 0.374717 , 0.296526 , 0.341508 , 0.373117 , 0.365477 , 0.323431 , 0.418757 , 0.408182 , 0.222517 , 0.368354 , 0.4083 , 0.32187 , 0.306296 , 0.329646 , 0.263326 , 0.348627 , 0.33922 , 0.308594 , 0.400464 , 0.318953 , 0.369444 , 0.327977 , 0.313985 , 0.362237 , 0.199785 , 0.384429 , 0.382504 , 0.324364 , 0.317117 , 0.362807 , 0.424786 , 0.311206 , 0.448274 , 0.323833 , 0.297341 
 844 , 0.400909 , 0.498149 , 0.407628 , 0.32535 , 0.364775 , 0.393796 , 0.295985 , 0.412206 , 0.351915 , 0.410978 , 0.453645 , 0.453282 , 0.357181 , 0.540276 , 0.206585 , 0.298952 , 0.354194 , 0.323827 , 0.374275 , 0.41873 , 0.416667 , 0.382802 , 0.396311 , 0.442642 , 0.277192 , 0.374118 , 0.332296 , 0.438408 , 0.449342 , 0.345824 , 0.409947 , 0.299316 , 0.311557 , 0.382242 , 0.393619 , 0.439754 , 0.393688 , 0.318237 , 0.412806 , 0.476752 , 0.419712 , 0.369775 , 0.274912 , 0.469649 , 0.405094 , 0.390102 , 0.379059 , 0.331913 , 0.479326 , 0.31473 , 0.367192 , 0.373735 , 0.477597 , 0.468892 , 0.233199 , 0.372399 , 0.437455 , 0.43663 , 0.34718 , 0.408866 , 0.315654 , 0.366897 , 0.421274 , 0.290484 , 0.338269 , 0.193951 , 0.360934 , 0.405428 , 0.422384 , 0.285454 , 0.279314 , 0.380395 , 0.383461 , 0.430686 , 0.330803 , 0.448763 , 0.269548 , 0.255441 , 0.457526 , 0.407255 , 0.345991 , 0.42152 , 0.419899 , 0.39582 , 0.421156 , 0.36675 , 0.2907 , 0.362093 , 0.280001 , 0.272407 , 0.369461 , 0.392126 , 0.405212 , 0.233356 , 0.258024 , 0.390112 , 0.207508 , 0.270767 , 0.342189 , 0.383824 , 0.41538 , 0.336314 , 0.381899 , 0.395662 , 0.481919 , 0.319937 , 0.354184 , 0.260255 , 0.383854 , 0.266925 , 0.361749 , 0.344281 , 0.265786 , 0.277968 , 0.299001 , 0.418514 , 0.280453 , 0.240341 , 0.258231 , 0.280532 , 0.353595 , 0.404858 , 0.338033 , 0.311213 , 0.292419 , 0.37514 , 0.296997 , 0.341963 , 0.373577 , 0.365964 , 0.323975 , 0.419319 , 0.408886 , 0.222824 , 0.368842 , 0.408974 , 0.322373 , 0.306704 , 0.330213 , 0.263742 , 0.349312 , 0.339674 , 0.309032 , 0.401193 , 0.319465 , 0.369913 , 0.328415 , 0.314416 , 0.362722 , 0.200081 , 0.385003 , 0.383127 , 0.324918 , 0.317766 , 0.363321 , 0.42542 , 0.311655 , 0.448998 , 0.324309 , 0.297793 
 845 , 0.401208 , 0.498763 , 0.408026 , 0.325795 , 0.365243 , 0.394291 , 0.296373 , 0.412853 , 0.352421 , 0.41145 , 0.454439 , 0.453959 , 0.357649 , 0.540918 , 0.206902 , 0.299464 , 0.354677 , 0.324265 , 0.374631 , 0.419181 , 0.417238 , 0.383314 , 0.396823 , 0.443069 , 0.277547 , 0.374416 , 0.33277 , 0.438958 , 0.44976 , 0.34624 , 0.410322 , 0.299719 , 0.31206 , 0.382725 , 0.394262 , 0.440293 , 0.394144 , 0.318565 , 0.413128 , 0.4772 , 0.420211 , 0.370285 , 0.275222 , 0.470264 , 0.405554 , 0.390603 , 0.379546 , 0.332437 , 0.480054 , 0.315131 , 0.367548 , 0.374229 , 0.478141 , 0.46943 , 0.233577 , 0.372787 , 0.438036 , 0.437242 , 0.347712 , 0.409429 , 0.316083 , 0.367421 , 0.421741 , 0.290752 , 0.338656 , 0.194325 , 0.361427 , 0.405927 , 0.423115 , 0.286063 , 0.279823 , 0.38092 , 0.383941 , 0.431267 , 0.331191 , 0.44924 , 0.269875 , 0.255739 , 0.45803 , 0.40782 , 0.346583 , 0.422016 , 0.420338 , 0.396352 , 0.421604 , 0.367313 , 0.291115 , 0.362614 , 0.2805 , 0.27275 , 0.370089 , 0.392594 , 0.405672 , 0.233753 , 0.258486 , 0.390681 , 0.207844 , 0.27119 , 0.342708 , 0.384314 , 0.415992 , 0.336694 , 0.38245 , 0.396312 , 0.482448 , 0.320556 , 0.354873 , 0.260752 , 0.38455 , 0.267501 , 0.362359 , 0.344857 , 0.266216 , 0.27844 , 0.299493 , 0.419249 , 0.280981 , 0.240807 , 0.258829 , 0.280971 , 0.354118 , 0.405397 , 0.338617 , 0.311658 , 0.292832 , 0.375573 , 0.297482 , 0.342326 , 0.374092 , 0.366459 , 0.324539 , 0.419877 , 0.409537 , 0.223188 , 0.369383 , 0.409694 , 0.322871 , 0.307165 , 0.330789 , 0.264185 , 0.349978 , 0.340167 , 0.309451 , 0.401953 , 0.320017 , 0.370354 , 0.328866 , 0.314905 , 0.363291 , 0.200339 , 0.385482 , 0.383686 , 0.32551 , 0.318457 , 0.363801 , 0.426028 , 0.312051 , 0.449691 , 0.324794 , 0.298267 
 846 , 0.40151 , 0.499395 , 0.408445 , 0.326253 , 0.365708 , 0.3948 , 0.296759 , 0.413509 , 0.352945 , 0.411922 , 0.455237 , 0.454669 , 0.358146 , 0.541573 , 0.20723 , 0.299991 , 0.355159 , 0.324725 , 0.374994 , 0.419641 , 0.417829 , 0.383839 , 0.397347 , 0.443512 , 0.277913 , 0.37471 , 0.333256 , 0.439526 , 0.450193 , 0.346666 , 0.410708 , 0.300119 , 0.312569 , 0.383222 , 0.394928 , 0.440838 , 0.394604 , 0.318887 , 0.41346 , 0.477659 , 0.420709 , 0.370812 , 0.275542 , 0.47089 , 0.406016 , 0.391127 , 0.380049 , 0.332962 , 0.480803 , 0.315546 , 0.367902 , 0.374739 , 0.478697 , 0.469979 , 0.233961 , 0.373192 , 0.438625 , 0.43787 , 0.348253 , 0.410012 , 0.316526 , 0.367961 , 0.422217 , 0.291029 , 0.339055 , 0.194711 , 0.361927 , 0.406427 , 0.423863 , 0.286689 , 0.280342 , 0.381449 , 0.384437 , 0.431866 , 0.331581 , 0.449723 , 0.270204 , 0.25604 , 0.458548 , 0.408406 , 0.347195 , 0.422511 , 0.420797 , 0.396906 , 0.42207 , 0.367893 , 0.291548 , 0.363161 , 0.281008 , 0.273093 , 0.370733 , 0.393086 , 0.406153 , 0.234147 , 0.258959 , 0.391274 , 0.20818 , 0.271624 , 0.343248 , 0.384809 , 0.416624 , 0.337086 , 0.383016 , 0.396985 , 0.482997 , 0.321188 , 0.35558 , 0.261261 , 0.385269 , 0.268088 , 0.362975 , 0.345442 , 0.266648 , 0.278931 , 0.299982 , 0.419994 , 0.281527 , 0.241278 , 0.259429 , 0.281419 , 0.354669 , 0.405938 , 0.339222 , 0.312118 , 0.293252 , 0.376023 , 0.297983 , 0.342689 , 0.374612 , 0.366962 , 0.325126 , 0.420444 , 0.410198 , 0.223559 , 0.36995 , 0.410424 , 0.323383 , 0.307642 , 0.331385 , 0.26463 , 0.350663 , 0.340671 , 0.309894 , 0.402734 , 0.320571 , 0.370812 , 0.329328 , 0.315399 , 0.363886 , 0.200598 , 0.385975 , 0.38426 , 0.326125 , 0.319171 , 0.364288 , 0.426645 , 0.312451 , 0.450398 , 0.325283 , 0.298747 
